,judges_last_name,judges_first_name,law school,grad year,elect,military,ADA,APD,Prof,female,CC,SC-AJ,SC,SC-AJ & SC,start year,nycourts,ballotpedia,1976,1980,1981,1984,1985,1986,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,retired,arrested,lost-reelection,died,left,appointed-to-other-depart,contested
48,          bellantoni ,,fordham,1966,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1995,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,             bellini ,,syracuse,1986,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2000,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,              bender ,,buffalo,1977,,,,,,0.0,1.0,0.0,0.0,0.0,2003,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,             benitez ,,columbia,1971,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1989,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,               berke ,,georgetown,1989,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2001,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,             berkman ,,harvard,1967,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2002,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
54,           berkowitz ,,cardoza,1981,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2005,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,           bernstein ,,fordham,1975,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1993,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,               berry ,,tulsa,1974,,,,,,0.0,1.0,1.0,0.0,0.0,1990,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
57,                best ,,yale,1981,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2008,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,            birnbaum ,,brooklyn,1976,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,              bivona ,,brooklyn,1965,,,,,,0.0,0.0,1.0,0.0,0.0,2000,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,          blackburne ,,unknown,,,,,,,,,,,,,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,          blumenfeld ,,georgewashington,1968,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1991,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,              bohrer ,,unknown,,,,,,,,,,,,,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,              boklan ,,unknown,,,,,,,,,,,,,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,              boller ,,baltimore,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2006,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,            boniello ,,buffalo,1969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2000,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,               boyar ,,unknown,,,,,,,,,,,,,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,               boyle ,,fordham,1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2002,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,             bradley ,,columbia,1960,,,,,,0.0,0.0,1.0,0.0,0.0,1982,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,          bradstreet ,,colorado,1973,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1993,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
70,              brands ,,albany,1968,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2002,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,              brandt ,,brooklyn,1974,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2001,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,             braslow ,,delaware,1978,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1999,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,             brennan ,,st.johns,1973,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2001,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,             breslin ,,toledo,1973,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1992,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
77,             bristol ,,unknown,,,,,,,,,,,,,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,           broderick ,,unknown,,,,,,,,,,,,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,               brown ,,buffalo,1981,,,,,,0.0,1.0,1.0,0.0,0.0,2001,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80,               bruce ,,temple,1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2004,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,               bruhn ,,unknown,,,,,,,0.0,1.0,0.0,0.0,0.0,1993,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
82,            brunetti ,,nyu,1974,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1995,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,             buchter ,,st.johns,1974,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1987,1.0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,             buckley ,,fordham,1974,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
85,               burns ,,buffalo,1979,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1995,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,           buscaglia ,,buffalo,1975,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1997,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,               byrne ,,unknown,,,,,,,,,,,,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88,              cacace ,,pace,1989,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2005,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
89,           calabrese ,,fordham,1979,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2000,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,             camacho ,,fordham,1985,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2008,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,            campbell ,,westernnewengland,1982,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2002,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
92,              capaci ,,unknown,,,,,,,,,,,,,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,              capeci ,,villanova,1982,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2008,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,              carney ,,gonzaga,1981,,,,,,0.0,1.0,0.0,0.0,0.0,2010,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,               carro ,,rutgers,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2002,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,             carroll ,,georgetown,1971,,,,,,0.0,0.0,0.0,0.0,0.0,1997,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,          carruthers ,,georgetown,1971,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1986,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,              carter ,,columbia,1982,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2002,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
